,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
15577,João Virgínia,18,Portugal,59,76,Everton,€260K,€2K,GK
15578,N. Lüchinger,23,Switzerland,59,66,FC St. Gallen,€180K,€2K,RB
15579,Y. Mabella,22,France,59,68,AS Nancy Lorraine,€240K,€1K,ST
15580,R. Hale,19,Republic of Ireland,59,76,Derry City,€325K,€2K,RM
15581,E. Embleton,19,England,59,76,Grimsby Town,€325K,€1K,RM
15582,N. Nasseri,21,England,59,65,Gillingham,€220K,€1K,CAM
15583,C. Elva,21,Canada,59,64,FC Würzburger Kickers,€210K,€1K,RW
15584,V. Stenzel,21,Germany,59,65,FC Carl Zeiss Jena,€220K,€1K,RM
15585,I. Al Talhi,23,Saudi Arabia,59,64,Al Fateh,€210K,€4K,LM
15586,A. Mumin,20,Ghana,59,70,FC Nordsjælland,€240K,€2K,CB
15587,Paulo Alves,20,Portugal,59,70,Wolverhampton Wanderers,€260K,€6K,CM
15588,Y. Armougom,20,France,59,73,Stade Malherbe Caen,€300K,€2K,LB
15589,T. Kucz,18,Poland,59,75,Bayer 04 Leverkusen,€260K,€2K,GK
15590,S. Sy,19,France,59,71,Amiens SC,€240K,€1K,LB
15591,M. McKee,19,Northern Ireland,59,71,Stevenage,€270K,€1K,CM
15592,Cui Yongzhe,31,China PR,59,59,Chongqing Dangdai Lifan FC SWM Team,€100K,€2K,RB
15593,S. Bengriba,37,France,59,59,Grenoble Foot 38,€20K,€1K,LB
15594,T. Yanagi,20,Japan,59,71,FC Tokyo,€240K,€1K,RB
15595,J. Bekkema,22,Netherlands,59,67,SC Heerenveen,€170K,€1K,GK
15596,A. Al Yami,21,Saudi Arabia,59,71,Al Fayha,€280K,€4K,ST
15597,Ding Jie,31,China PR,59,59,Chongqing Dangdai Lifan FC SWM Team,€100K,€2K,LDM
15598,J. Bednarczyk,19,Poland,59,77,Bayer 04 Leverkusen,€325K,€4K,LM
15599,J. Ingham,24,New Zealand,59,62,Melbourne Victory,€200K,€2K,RW
15600,G. Quezada,21,Ecuador,59,67,CD Lugo,€230K,€1K,CM
15601,M. Fallatah,22,Saudi Arabia,59,69,Al Hilal,€250K,€5K,CM
15602,F. Agu,18,Germany,59,73,VfL Osnabrück,€290K,€1K,LB
15603,R. Polley,19,Netherlands,59,71,ADO Den Haag,€240K,€1K,RB
15604,I. Chair,20,Belgium,59,72,Queens Park Rangers,€300K,€1K,CAM
15605,I. Khemis,22,Tunisia,59,69,Doncaster Rovers,€250K,€1K,CM
15606,M. Álvarez,24,Colombia,59,66,Patriotas Boyacá FC,€220K,€1K,ST
15607,O. Brynhildsen,19,Norway,59,78,Stabæk Fotball,€325K,€1K,RM
15608,R. Al Hafizi,22,Saudi Arabia,59,67,Ohod Club,€230K,€3K,LM
15609,M. Rosas,20,Chile,59,74,Universidad Católica,€350K,€1K,RW
15610,J. Torres,21,Colombia,59,74,Atlético Bucaramanga,€300K,€1K,CDM
15611,B. Dennehy,31,Republic of Ireland,59,59,Limerick FC,€140K,€1K,LB
15612,J. Martin,29,England,59,59,Bristol Rovers,€120K,€2K,LB
15613,E. Whitehouse,24,England,59,64,Grimsby Town,€200K,€2K,CM
15614,M. Quiñones,22,Colombia,59,64,Deportivo Pasto,€170K,€1K,LB
15615,R. Keskin,19,Turkey,59,68,Bursaspor,€200K,€1K,CDM
15616,Zhang Li,28,China PR,59,59,Changchun Yatai FC,€150K,€2K,RCM
15617,A. Lacey,25,England,59,66,Gillingham,€180K,€1K,CB
15618,J. Shipley,20,Republic of Ireland,59,69,Coventry City,€250K,€1K,LM
15619,L. Fadinger,17,Austria,59,72,SK Sturm Graz,€270K,€2K,CAM
15620,P. Gómez,20,Argentina,59,71,Puebla FC,€280K,€1K,LM
15621,M. Kudus,17,Ghana,59,79,FC Nordsjælland,€300K,€1K,CF
15622,J. Maxted,24,England,59,64,Accrington Stanley,€150K,€1K,GK
15623,Chu Jinzhao,25,China PR,59,63,Tianjin Quanjian FC,€170K,€3K,CB
15624,J. Medina,27,Mexico,59,60,Club Necaxa,€140K,€2K,RB
15625,L. Ndenbe,18,Belgium,59,74,KV Oostende,€290K,€1K,LB
15626,Dai Wai-Tsun,18,Hong Kong,59,71,Oxford United,€250K,€1K,CM
15627,M. Virtue,21,England,59,71,Liverpool,€250K,€8K,CDM
15628,M. Curry,18,England,59,76,Middlesbrough,€325K,€4K,ST
15629,F. Castro,23,Uruguay,59,67,Club Necaxa,€230K,€2K,RW
15630,L. Weinkauf,21,Germany,59,71,Hannover 96,€220K,€2K,GK
15631,S. Wilson,25,England,59,62,Macclesfield Town,€200K,€2K,ST
15632,M. Andersson,37,Sweden,59,59,Trelleborgs FF,€20K,€1K,CB
15633,T. Wiesner,20,Czech Republic,59,68,Sparta Praha,€210K,€1K,RB
15634,B. Wright,23,Canada,59,67,New England Revolution,€230K,€1K,ST
15635,C. Holse,19,Denmark,59,76,FC København,€325K,€2K,RM
15636,S. Vidal,22,France,59,66,Red Star FC,€220K,€1K,RM
15637,M. Kelly,20,Scotland,59,68,Bristol Rovers,€210K,€1K,LB
15638,H. Andersson,19,Sweden,59,74,Malmö FF,€300K,€1K,CB
15639,A. DeJohn,27,United States,59,61,Dalkurd FF,€150K,€1K,CB
15640,T. Klup?,18,Poland,59,76,Lech Pozna?,€325K,€1K,RM
15641,K. O'Hara,22,Republic of Ireland,59,68,Macclesfield Town,€180K,€8K,GK
15642,T. Mølgaard,21,Denmark,59,67,Vejle Boldklub,€200K,€1K,RWB
15643,S. Singh,22,India,59,65,,€ 0,€ 0,CB
15644,H. Benkaïd,28,France,59,59,US Orléans Loiret Football,€160K,€1K,ST
15645,Obama,18,Spain,59,79,Atlético Madrid,€325K,€4K,ST
15646,J. Falkmar,26,Sweden,59,60,IF Brommapojkarna,€150K,€1K,LB
15647,N. Bazan,19,Argentina,59,69,Vélez Sarsfield,€250K,€1K,ST
15648,Y. Takaoka,22,Japan,59,66,Sagan Tosu,€160K,€1K,GK
15649,D. Nasu,36,Japan,59,59,Vissel Kobe,€20K,€1K,CB
15650,D. Conner,24,United States,59,66,Chicago Fire,€180K,€1K,RB
15651,S. Kodama,19,Japan,59,69,Nagoya Grampus,€240K,€1K,LM
15652,A. Thapa,20,India,59,71,,€ 0,€ 0,LCM
15653,S. Farhan,21,Saudi Arabia,59,71,Al Raed,€250K,€2K,LDM
15654,A. Ablet,31,China PR,59,59,Henan Jianye FC,€100K,€2K,LWB
15655,Yoo Ji Ha,19,Korea Republic,59,74,Pohang Steelers,€300K,€1K,CB
15656,M. López,27,Colombia,59,60,Atlético Huila,€140K,€1K,LB
15657,K. Huntelaar,19,Netherlands,59,70,De Graafschap,€260K,€1K,CM
15658,J. Atanasov,18,FYR Macedonia,59,76,Bursaspor,€290K,€1K,CDM
15659,K. Leidsman,19,Netherlands,59,69,De Graafschap,€250K,€1K,ST
15660,M. Spasic,20,Serbia,59,67,FC Admira Wacker Mödling,€200K,€1K,LB
15661,C. Topaloglu,26,Turkey,59,62,Çaykur Rizespor,€140K,€2K,GK
15662,D. Jarvis,26,Northern Ireland,59,62,Dundalk,€160K,€1K,LB
15663,P. Esquivel,24,Mexico,59,64,Club Necaxa,€210K,€2K,ST
15664,S. Mandash,23,Saudi Arabia,59,65,Al Faisaly,€210K,€3K,RM
15665,A. Abdellaoui,25,Algeria,59,64,FC Sion,€170K,€4K,LB
15666,D. Bajselmani,19,Netherlands,59,70,PEC Zwolle,€220K,€1K,RB
15667,E. Ferigra,19,Ecuador,59,72,Torino,€260K,€2K,CB
15668,J. Turley,28,England,59,59,Notts County,€130K,€3K,RCB
15669,A. Barreal,17,Argentina,59,73,Vélez Sarsfield,€300K,€1K,RW
15670,F. Pasqualoni,21,Italy,59,68,Cosenza,€210K,€1K,CB
15671,L. Tempelmann,19,Germany,59,75,SC Freiburg,€325K,€2K,CM
15672,Ahn Seong Nam,34,Korea Republic,59,59,Gyeongnam FC,€50K,€1K,CDM
15673,Kang Bong Gyun,24,Korea Republic,59,64,Suwon Samsung Bluewings,€150K,€1K,GK
15674,D. García,21,Argentina,59,68,Gimnasia y Esgrima La Plata,€240K,€2K,ST
15675,T. Rotter,26,Austria,59,61,TSV Hartberg,€160K,€1K,RCB
15676,M. Kadlec,18,Austria,59,75,FC Admira Wacker Mödling,€325K,€1K,CAM
15677,S. Serderov,24,Russia,59,65,Cracovia,€210K,€1K,LM
15678,A. J?drych,26,Poland,59,64,Zag??bie Sosnowiec,€170K,€1K,RCB
15679,J. Muscatt,20,England,59,69,Bolton Wanderers,€220K,€1K,LB
15680,M. Daly,17,England,59,80,Huddersfield Town,€325K,€3K,CM
15681,T. De Bie,21,Belgium,59,67,KV Oostende,€170K,€1K,GK
15682,E. Elizalde,18,Uruguay,59,79,Pescara,€290K,€1K,LB
15683,G. León,18,Mexico,59,74,Deportivo Toluca,€325K,€2K,ST
15684,S. Çetin,17,Germany,59,80,Eintracht Frankfurt,€300K,€2K,CDM
15685,A. Urzi,18,Argentina,59,76,Club Atlético Banfield,€325K,€1K,RM
15686,J. Dunleavy,26,Republic of Ireland,59,59,Sligo Rovers,€130K,€1K,RB
15687,A. Al Saluli,19,Saudi Arabia,59,74,Al Ittihad,€300K,€2K,CB
15688,K. Chvedukas,27,Lithuania,59,60,Dundalk,€150K,€1K,CDM
15689,A. Al Dawsari,20,Saudi Arabia,59,69,Al Nassr,€220K,€3K,CDM
15690,E. Korkmaz,21,Netherlands,59,68,VVV-Venlo,€210K,€1K,CB
15691,J. Galetto,21,Argentina,59,68,Patronato,€210K,€2K,RB
15692,S. Russell,35,England,59,59,Grimsby Town,€40K,€1K,GK
15693,O. Sail,22,New Zealand,59,67,Wellington Phoenix,€170K,€1K,GK
15694,M. Hudson,19,England,59,65,Bury,€150K,€1K,GK
15695,N. Bizet,21,France,59,69,AJ Auxerre,€260K,€1K,ST
15696,Madger Gomes,21,Spain,59,70,FC Sochaux-Montbéliard,€270K,€1K,LCM
15697,Iker Goujón,18,Spain,59,75,CF Reus Deportiu,€325K,€1K,CM
15698,F. Bin Jamayah,23,Saudi Arabia,59,68,Al Nassr,€240K,€5K,RM
15699,N. Anderton,22,England,59,69,Accrington Stanley,€220K,€1K,LB
15700,C. Storm,23,United States,59,66,Sporting Kansas City,€180K,€1K,RB
15701,J. Bruhns,19,Germany,59,71,SC Fortuna Köln,€210K,€1K,GK
15702,E. Ybáñez,19,Argentina,59,70,Argentinos Juniors,€220K,€1K,LB
15703,E. Karic,21,Austria,59,66,SCR Altach,€190K,€1K,LB
15704,L. Ridehalgh,27,England,59,60,Tranmere Rovers,€140K,€2K,LB
15705,J. Bolado,20,Argentina,59,69,Godoy Cruz,€190K,€1K,GK
15706,A. Riemann,26,Germany,59,59,VfL Osnabrück,€170K,€1K,LM
15707,A. Gogi?,24,Cyprus,59,66,Hamilton Academical FC,€190K,€1K,CB
15708,L. Béland-Goyette,22,Canada,59,64,Montreal Impact,€200K,€1K,CM
15709,E. Pálsson,25,Iceland,59,64,Sandefjord Fotball,€170K,€1K,RDM
15710,Lee Tae Hee,26,Korea Republic,59,59,Sangju Sangmu FC,€130K,€1K,RB
15711,K. Yajima,23,Japan,59,67,FC Tokyo,€230K,€2K,ST
15712,M. Hoxha,18,Belgium,59,72,KV Kortrijk,€280K,€1K,CAM
15713,K. McFarlane,21,England,59,68,Birmingham City,€240K,€3K,ST
15714,F. Rieder,22,Austria,59,66,FC Wacker Innsbruck,€220K,€2K,CM
15715,C. Kpekawa,22,England,59,69,St. Mirren,€220K,€1K,CB
15716,C. Tiéhi,20,Ivory Coast,59,76,Le Havre AC,€300K,€1K,CDM
15717,J. Flatt,23,England,59,66,Scunthorpe United,€160K,€1K,GK
15718,T. Matthews,17,South Africa,59,79,Borussia Dortmund,€300K,€3K,CAM
15719,J. Hodgkiss,31,England,59,59,Macclesfield Town,€100K,€2K,RB
15720,C. Arroyave,22,Colombia,59,67,Itagüí Leones FC,€170K,€1K,GK
15721,J. Heil,21,Austria,59,66,TSV Hartberg,€220K,€1K,RM
15722,A. Jakubiak,21,Scotland,59,69,Bristol Rovers,€260K,€1K,ST
15723,K. Reaves,22,United States,59,68,FC Dallas,€210K,€1K,CB
15724,V. Baume,21,Belgium,59,68,Sporting de Charleroi,€180K,€1K,GK
15725,R. Morishita,19,Japan,59,68,Cerezo Osaka,€200K,€1K,CB
15726,A. Awad,26,Sweden,59,62,Dalkurd FF,€200K,€1K,RS
15727,A. Al Shamrani,24,Saudi Arabia,59,63,Al Wehda,€170K,€3K,CB
15728,G. Azzinnari,17,Italy,59,83,Cosenza,€350K,€1K,ST
15729,O. Drost,22,Denmark,59,66,AC Horsens,€220K,€2K,LS
15730,J. Caprice,25,England,59,62,Tranmere Rovers,€160K,€2K,RB
15731,Zhang Lu,30,China PR,59,59,Shanghai Greenland Shenhua FC,€150K,€2K,RM
15732,A. Mendy,23,Senegal,59,65,Racing Club de Lens,€180K,€1K,LB
15733,G. Blackwood,21,Australia,59,65,Adelaide United,€220K,€1K,ST
15734,M. Johansson,19,Sweden,59,72,Trelleborgs FF,€230K,€1K,GK
15735,J. Hanato,28,Japan,59,59,Shonan Bellmare,€160K,€1K,CF
15736,M. Clark,19,Wales,59,69,Port Vale,€210K,€1K,LB
15737,B. Mines,18,United States,59,78,New York Red Bulls,€325K,€1K,RM
15738,Kwon Tae Ahn,26,Korea Republic,59,63,Sangju Sangmu FC,€140K,€1K,GK
15739,C. Baker-Richardson,22,England,59,67,Swansea City,€230K,€4K,ST
15740,B. Varga,24,Hungary,59,64,SV Mattersburg,€210K,€3K,RW
15741,S. Akgün,18,Turkey,59,78,BB Erzurumspor,€325K,€1K,CM
15742,S. Long,23,Republic of Ireland,59,65,Cheltenham Town,€180K,€2K,RB
15743,M. Folivi,20,England,59,74,Watford,€350K,€6K,ST
15744,M. Rayman,21,Saudi Arabia,59,69,Al Ittihad,€220K,€3K,LB
15745,B. Thomas-Asante,19,England,59,74,Milton Keynes Dons,€325K,€1K,LM
15746,Y. Begraoui,16,France,59,81,AJ Auxerre,€350K,€1K,ST
15747,A. Fleming,30,England,59,59,Morecambe,€140K,€2K,CM
15748,Guille Lara,22,Spain,59,71,UD Almería,€220K,€1K,GK
15749,W. Wood,21,England,59,69,Accrington Stanley,€220K,€1K,LB
15750,F. Ghazi,24,Saudi Arabia,59,66,Al Shabab,€180K,€4K,LB
15751,N. Córdova,20,Chile,59,73,Unión Española,€300K,€1K,RB
15752,Jin Pengxiang,28,China PR,59,59,Dalian YiFang FC,€120K,€3K,RB
15753,Kim Bo Seop,20,Korea Republic,59,71,Incheon United FC,€280K,€1K,LW
15754,S. Acka,27,Ivory Coast,59,61,BB Erzurumspor,€150K,€2K,CB
15755,E. Celebi,18,Germany,59,74,1. FC Nürnberg,€290K,€1K,CB
15756,E. Dabo,22,Senegal,59,66,Valenciennes FC,€190K,€1K,CB
15757,Mello,25,Brazil,59,62,Zag??bie Sosnowiec,€200K,€1K,LM
15758,Yang Boyu,29,China PR,59,59,Jiangsu Suning FC,€120K,€3K,CB
15759,A. Collins,21,Wales,59,67,Colchester United,€230K,€2K,ST
15760,P. Kasim,21,Ghana,59,70,IFK Göteborg,€270K,€1K,LM
15761,T. Abdullah,22,Saudi Arabia,59,68,Al Ittihad,€200K,€4K,RB
15762,M. Crocombe,24,New Zealand,59,63,,€ 0,€ 0,GK
15763,E. Næsbak Brenden,24,Norway,59,63,Lillestrøm SK,€200K,€1K,LM
15764,J. O'Doherty,20,Australia,59,66,Western Sydney Wanderers,€220K,€1K,LCM
15765,Fernando Costanza,19,Brazil,59,74,LOSC Lille,€300K,€2K,RB
15766,M. Acton,26,Australia,59,63,Melbourne Victory,€140K,€1K,GK
15767,F. Lobos,19,Chile,59,74,Universidad de Chile,€325K,€1K,ST
15768,K. Tokushige,34,Japan,59,59,V-Varen Nagasaki,€60K,€1K,GK
15769,J. Serafin,22,Poland,59,66,Cracovia,€220K,€1K,CM
15770,N. Sutter,23,Switzerland,59,67,FC Thun,€200K,€2K,CB
15771,C. O'Hare,20,England,59,74,Aston Villa,€350K,€2K,CAM
15772,M. Carreazo,20,Venezuela,59,69,Once Caldas,€250K,€1K,CM
15773,R. Aoki,22,Japan,59,70,Nagoya Grampus,€270K,€1K,LW
15774,F. Camara,20,Guinea,59,68,GFC Ajaccio,€210K,€1K,LB
15775,N. Trott,19,England,59,76,West Ham United,€280K,€2K,GK
15776,I. Boye,21,Nigeria,59,67,Örebro SK,€230K,€1K,ST
15777,Y. Goke,19,Japan,59,72,Vissel Kobe,€290K,€1K,CM
15778,Wang Qiuming,25,China PR,59,61,Hebei China Fortune FC,€190K,€2K,LM
15779,H. Sandvik,28,Norway,59,61,FK Haugesund,€130K,€1K,GK
15780,Park Jung Soo,31,Korea Republic,59,59,Gangwon FC,€130K,€1K,RDM
15781,M. Vano,26,Italy,59,60,Carpi,€190K,€1K,ST
15782,M. Rieder,18,Netherlands,59,74,ADO Den Haag,€325K,€1K,CAM
15783,J. Hooper,24,England,59,64,Grimsby Town,€210K,€2K,ST
15784,Sun Bo,27,China PR,59,59,Dalian YiFang FC,€160K,€2K,LM
15785,L. Hupfauf,21,Austria,59,66,FC Wacker Innsbruck,€190K,€1K,RWB
15786,Mollejo,17,Spain,59,79,Atlético Madrid,€300K,€4K,RW
15787,V. Oliver,26,England,59,60,Morecambe,€190K,€2K,ST
15788,M. Kuchta,22,Poland,59,68,Zag??bie Lubin,€180K,€1K,GK
15789,Cao Haiqing,24,China PR,59,62,Jiangsu Suning FC,€160K,€2K,LB
15790,A. Banasiak,28,Poland,59,59,Zag??bie Sosnowiec,€130K,€1K,LDM
15791,Pedro Goulart,20,Mexico,59,70,Puebla FC,€270K,€1K,ST
15792,Song Long,28,China PR,59,59,Shandong Luneng TaiShan FC,€120K,€3K,RB
15793,J. Lahne,16,Sweden,59,77,IF Brommapojkarna,€300K,€1K,ST
15794,M. García,22,Argentina,59,66,Unión de Santa Fe,€220K,€2K,CM
15795,R. McKenzie,19,England,59,74,Hull City,€300K,€2K,CB
15796,D. Franke,19,Germany,59,76,VfL Wolfsburg,€300K,€2K,LB
15797,M. Cavalleri,20,Chile,59,69,Curicó Unido,€260K,€1K,ST
15798,A. Beyaz?t,21,Germany,59,68,FC Energie Cottbus,€240K,€1K,CF
15799,A. Grijalva,17,Mexico,59,73,Monterrey,€280K,€2K,CB
15800,D. Klomp,19,Netherlands,59,69,NAC Breda,€210K,€1K,RCB
15801,J. Keatings,26,Scotland,59,62,Hamilton Academical FC,€200K,€1K,CAM
15802,P. Di Nardo,28,Switzerland,59,60,Neuchâtel Xamax,€140K,€1K,RDM
15803,A. Baroan,18,France,59,75,Chamois Niortais Football Club,€325K,€1K,ST
15804,C. Lattanzio,20,Argentina,59,70,Estudiantes de La Plata,€270K,€2K,LM
15805,M. Candlin,18,England,59,75,Blackburn Rovers,€325K,€1K,ST
15806,R. Menayese,20,Wales,59,65,Bristol Rovers,€180K,€1K,CB
15807,J. Thompson,21,Northern Ireland,59,73,Blackpool,€350K,€1K,CAM
15808,H. Smith,23,England,59,66,Macclesfield Town,€220K,€2K,ST
15809,Liu Ruofan,19,China PR,59,79,Shanghai Greenland Shenhua FC,€325K,€1K,RM
15810,D. Jajic,19,Sweden,59,69,Hammarby IF,€240K,€1K,CM
15811,L. Fesser,23,Germany,59,65,SC Paderborn 07,€180K,€2K,CB
15812,J. Brown,20,England,59,69,Livingston FC,€220K,€2K,RB
15813,M. Nilor,20,France,59,71,FC Girondins de Bordeaux,€280K,€4K,ST
15814,I. Mensah,23,Ghana,59,67,IK Start,€230K,€1K,LW
15815,V. Fernández,19,Chile,59,73,Unión La Calera,€300K,€1K,LB
15816,D. Richards,24,Wales,59,65,Crewe Alexandra,€160K,€2K,GK
15817,H. Castegren,22,Sweden,59,69,IFK Norrköping,€220K,€1K,CB
15818,I. Oda,19,Japan,59,74,Kashima Antlers,€300K,€1K,LB
15819,L. Cacace,17,New Zealand,59,73,Wellington Phoenix,€270K,€1K,LWB
15820,E. Veiga,21,Luxembourg,59,69,Eintracht Braunschweig,€220K,€1K,CDM
15821,R. Cornwall,23,Republic of Ireland,59,64,Bohemian FC,€180K,€1K,RCB
15822,J. Mbom,18,Germany,59,78,SV Werder Bremen,€325K,€2K,CM
15823,S. van Dijck,17,Netherlands,59,72,VVV-Venlo,€230K,€1K,CB
15824,D. Gremsl,25,Austria,59,62,FSV Zwickau,€200K,€1K,CF
15825,M. Bevan,21,New Zealand,59,69,,€ 0,€ 0,ST
15826,S. Friede,20,Germany,59,75,Hertha BSC,€350K,€3K,CM
15827,A. Guiffrey,20,Argentina,59,70,Patronato,€270K,€2K,RM
15828,M. Sætra,21,Norway,58,64,Strømsgodset IF,€130K,€1K,GK
15829,H. Magnetti,20,France,58,68,Stade Brestois 29,€200K,€1K,CM
15830,S. Abraham,27,Sweden,58,59,IFK Göteborg,€150K,€1K,ST
15831,G. Buon,20,France,58,68,Stade Brestois 29,€180K,€1K,CB
15832,D. Morrissey,24,Republic of Ireland,58,62,Limerick FC,€170K,€1K,ST
15833,G. Akkan,19,Turkey,58,75,Yeni Malatyaspor,€250K,€1K,CB
15834,L. Espinoza,25,Chile,58,60,Deportes Iquique,€160K,€1K,ST
15835,J. Requena,22,Argentina,58,69,Club Deportes Temuco,€220K,€1K,CAM
15836,C. Mbulu,21,England,58,69,Motherwell,€190K,€1K,CB
15837,G. Cuomo,20,Italy,58,72,Crotone,€250K,€1K,LCB
15838,A. Gürleyen,19,Germany,58,75,1. FSV Mainz 05,€250K,€1K,CB
15839,L. Jones,22,England,58,65,Luton Town,€150K,€1K,CB
15840,R. Gondoh,21,England,58,65,Colchester United,€180K,€2K,RM
15841,N. Hunziker,22,Switzerland,58,69,FC Thun,€220K,€2K,ST
15842,T. Reithmeir,18,Germany,58,75,1. FC Heidenheim 1846,€240K,€1K,CB
15843,L. Barreiro Martins,18,Luxembourg,58,76,1. FSV Mainz 05,€260K,€2K,CM
15844,J. Clarke,28,England,58,58,Bristol Rovers,€100K,€2K,RB
15845,Zheng Tao,32,China PR,58,58,Chongqing Dangdai Lifan FC SWM Team,€70K,€1K,RB
15846,M. Guehi,17,England,58,78,Chelsea,€230K,€4K,CB
15847,R. Prieto,21,Mexico,58,68,Tiburones Rojos de Veracruz,€210K,€1K,CAM
15848,I. Meite,21,England,58,68,Cardiff City,€210K,€5K,ST
15849,A. Amade,18,Germany,58,77,TSG 1899 Hoffenheim,€230K,€2K,RWB
15850,L. Krüger,18,Germany,58,72,RB Leipzig,€260K,€3K,ST
15851,K. Balogiannis,19,Greece,58,74,PAOK,€250K,€1K,CDM
15852,F. Due,25,Denmark,58,61,Randers FC,€110K,€1K,GK
15853,L. Saxton,28,England,58,59,GIF Sundsvall,€100K,€1K,GK
15854,C. James,20,England,58,72,Colchester United,€250K,€2K,CB
15855,M. Rafique,25,India,58,61,,€ 0,€ 0,CM
15856,P. Cherrie,34,Scotland,58,58,Derry City,€50K,€1K,GK
15857,E. Stokes,22,Republic of Ireland,58,69,Bohemian FC,€220K,€1K,ST
15858,S. Al Hamdan,26,Saudi Arabia,58,59,Al Hazem,€120K,€2K,LB
15859,C. Moya,20,Chile,58,73,San Luis de Quillota,€250K,€1K,RDM
15860,A. Xhemajli,20,Kosovo,58,73,Neuchâtel Xamax,€250K,€1K,CB
15861,A. Buxton,26,England,58,61,Tranmere Rovers,€130K,€2K,LB
15862,M. Gillesphey,22,England,58,65,Carlisle United,€150K,€2K,LB
15863,G. Banaziak,21,France,58,70,Amiens SC,€180K,€1K,GK
15864,A. Singh,25,India,58,62,,€ 0,€ 0,GK
15865,D. Svá?ek,21,Czech Republic,58,65,Viktoria Plze?,€130K,€1K,GK
15866,D. Sauerland,21,Germany,58,67,Eintracht Braunschweig,€170K,€1K,RB
15867,G. Kelly,21,Republic of Ireland,58,67,Dundalk,€200K,€1K,ST
15868,Y. Fujita,35,Japan,58,58,Júbilo Iwata,€30K,€1K,CB
15869,S. Duke-McKenna,17,England,58,74,Bolton Wanderers,€250K,€1K,RM
15870,D. Mosquera,22,Colombia,58,66,Itagüí Leones FC,€180K,€1K,CM
15871,K. Maji?,20,Croatia,58,72,Fortuna Düsseldorf,€280K,€3K,ST
15872,A. Al Ghamdi,23,Saudi Arabia,58,64,Al Raed,€130K,€2K,GK
15873,M. Real,18,United States,58,76,Philadelphia Union,€230K,€1K,LB
15874,F. Schwarzholz,18,Germany,58,73,FC Augsburg,€240K,€1K,CDM
15875,A. Majrashi,22,Saudi Arabia,58,67,Ettifaq FC,€170K,€3K,CDM
15876,E. Maceira,22,Venezuela,58,66,SD Huesca,€190K,€3K,LW
15877,Pei Shuai,25,China PR,58,61,Tianjin Quanjian FC,€160K,€3K,CM
15878,D. Nizic,23,Australia,58,65,Western Sydney Wanderers,€130K,€1K,GK
15879,F. Al Habib,20,Saudi Arabia,58,72,Al Shabab,€230K,€2K,GK
15880,J. Archer,24,England,58,61,Bury,€160K,€2K,ST
15881,Li Guang,27,China PR,58,60,Changchun Yatai FC,€120K,€2K,CDM
15882,E. Osadebe,21,Republic of Ireland,58,62,Cambridge United,€170K,€2K,CM
15883,Du Wenyang,28,China PR,58,58,Hebei China Fortune FC,€100K,€2K,RB
15884,B. Singh,31,India,58,58,,€ 0,€ 0,ST
15885,E. Granat,22,Sweden,58,65,GIF Sundsvall,€180K,€1K,CM
15886,V. Cordoba,30,Colombia,58,58,Itagüí Leones FC,€90K,€1K,CDM
15887,L. Schelenz,19,Germany,58,70,KFC Uerdingen 05,€200K,€1K,CDM
15888,A. Morley,18,England,58,72,Rochdale,€260K,€1K,CM
15889,M. Nikoli?,20,Sweden,58,65,IF Brommapojkarna,€180K,€1K,ST
15890,J. Pestaña,20,Colombia,58,72,Atlético Huila,€250K,€1K,RCB
15891,E. Dick,23,United States,58,65,Sporting Kansas City,€130K,€1K,GK
15892,B. Williams,35,England,58,58,Bolton Wanderers,€30K,€1K,GK
15893,J. Tilley,20,England,58,74,Brighton & Hove Albion,€280K,€4K,CAM
15894,Liu Yingchen,25,China PR,58,59,Dalian YiFang FC,€150K,€2K,CM
15895,C. Antwi,18,Ghana,58,71,FC Nordsjælland,€200K,€1K,LWB
15896,J. Albrecht,20,Germany,58,65,SV Wehen Wiesbaden,€130K,€1K,GK
15897,J. Sands,17,United States,58,75,New York City FC,€230K,€1K,CDM
15898,J. Muñoz,24,Colombia,58,63,Boyacá Chicó FC,€170K,€1K,CM
15899,J. Hoekstra,19,Netherlands,58,69,FC Groningen,€170K,€1K,GK
15900,K. Niemczycki,18,Poland,58,73,NAC Breda,€210K,€1K,GK
15901,M. Al Subaie,22,Saudi Arabia,58,66,Ettifaq FC,€190K,€3K,LM
15902,Park Ji Min,18,Korea Republic,58,74,Suwon Samsung Bluewings,€210K,€1K,GK
15903,H. Al Ghamdi,19,Saudi Arabia,58,74,Ettifaq FC,€270K,€2K,CM
15904,S. Ucar,19,Turkey,58,72,DSC Arminia Bielefeld,€250K,€1K,CDM
15905,N. Quindt,21,Germany,58,66,VfL Sportfreunde Lotte,€140K,€1K,GK
15906,M. Kahr?man,18,Turkey,58,73,Medipol Ba?ak?ehir FK,€260K,€2K,ST
15907,S. Gubari,22,Iraq,58,70,SCR Altach,€230K,€2K,LM
15908,L. Mulaj,19,Switzerland,58,71,Neuchâtel Xamax,€240K,€1K,CAM
15909,Z. Herivaux,22,Haiti,58,69,New England Revolution,€210K,€1K,CM
15910,G. McGregor,19,England,58,72,Crystal Palace,€270K,€3K,CM
15911,T. Campbell,21,England,58,65,Forest Green Rovers,€180K,€2K,ST
15912,K. Kesgin,17,Turkey,58,74,Göztepe SK,€250K,€2K,CM
